sku,image_url,error
BED-72300-VIHALS-DAY-BED-WITH-1-MATTRESS,https://www.ikea.com/sa/en/images/products/vihals-day-bed-with-1-mattress-white-afjaell-firm__1426629_pe979878_s5.jpg?f=xxs,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'wall-lighting'. This image may contain the wrong product type or category. Detection confidence: 0.529""}"
BED-72299-LILLEHEM-ARMREST-VISSLE-BEIGE,https://www.ikea.com/sa/en/images/products/lillehem-armrest-vissle-beige__1246937_pe922391_s5.jpg?f=xxs,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-25272-CLASSIC-HOTEL-BED-IS-UPHOLSTER,https://cdn.salla.sa/XaeeA/8f5c71ab-dc7d-4db2-a5fc-52521a1266dc-500x491.25874125874-L2buSykReZRJ6KfkWk5rUwEJSfDwT6QHGKbZ6hQZ.png,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'pillow'. This image may contain the wrong product type or category. Detection confidence: 0.958""}"
BED-25349-A-MODERN-HOTEL-BED-WITH-A-VERT,https://cdn.salla.sa/XaeeA/461d2c47-e472-4ef9-9cdc-55e9ba43aa20-500x500-SpOAoFJuzvcivkZVeWVIkDQdrFawXgMnLOAPoh3O.png,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.910""}"
BED-25365-A-MODERN-HOTEL-BED-WITH-A-VERT,https://cdn.salla.sa/XaeeA/0fa6257e-da87-442f-bafc-3111a61a45b0-500x467.18146718147-7OY5V2xi3mR4HkilKa4G0oaWaUfFrwFpvqroyeDy.png,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.939""}"
BED-26231-EVA-BED,https://cdn.salla.sa/XaeeA/a2e0fc9d-cbc3-427b-b83e-cc5ca4828299-500x500-DskTm7ivbB5FKd4k2lj523cG9xFCsm3tr9BV22O1.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.650""}"
BED-26241-MODERN-LUXURIOUS-LAND-BED-NIGH,https://cdn.salla.sa/XaeeA/3bea056b-4bcc-441f-96b2-0cc38e2bba62-500x500-HsaIqlTxsr6tFTmb7ZmeF8Rs8jF7Bqf0L2gM1jlv.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.886""}"
BED-26237-DIAMOND-BED,https://cdn.salla.sa/XaeeA/6a522d5f-a779-4e38-8e14-6b43a61c6e79-500x500-gP0FdnkL3AWNzpiJHFPHg1ugErvrcAUyTxtT8NHu.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'sofa'. This image may contain the wrong product type or category. Detection confidence: 0.664""}"
BED-26235-MILANO-BED-LUXURIOUS-HOTEL-BED,https://cdn.salla.sa/XaeeA/687b9aef-6882-4715-a7dc-baac1a786c36-500x500-1NXbmwefZu8Nsvm4sXglhLpPu9ljVd5UzcYvrhQH.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'sofa'. This image may contain the wrong product type or category. Detection confidence: 0.524""}"
BED-26239-ROSE-BED,https://cdn.salla.sa/XaeeA/6671816e-8be7-4758-8ea0-ffc65dff8fdb-500x500-yTK82qZXUsQ2EgcqufmNkGSJ3ymnFSlaGxgzwwze.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.705""}"
BED-26233-REGENCY-BED,https://cdn.salla.sa/XaeeA/077daa48-8e73-49f4-8e95-e9f8aaf9d623-500x500-kXUIfX9wmSEHLstneXbbLD0wcjS09ERxRWfrDLUW.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.676""}"
BED-26243-MODERN-LUXURY-HOTEL-CROWN-BED-,https://cdn.salla.sa/XaeeA/d57c9241-9164-4b7a-901d-d99c07b62cd8-500x500-Y0t8Yew0Mw3T4BeQSm6BHlyIUOMqhqgm9kQbYkoT.jpg,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-26245-CLASSIC-BED,https://cdn.salla.sa/XaeeA/8c071303-a923-4763-b2a7-79f60a779dae-500x500-HG8NObnLP1rhxR5se2KcTLkbKIHxi50whfTYcwxC.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.310""}"
BED-26262-AMAZING-WITH-AN-AMAZING-ROOM-B,https://cdn.salla.sa/XaeeA/a14678b6-8996-4753-9265-4ef68ebb07a8-500x500-UtD38c2YuRYnJHDd5KDhnFOzMeK8rSEM5sWbfbQO.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'pillow'. This image may contain the wrong product type or category. Detection confidence: 0.730""}"
BED-27777-LUXURIOUS-MODERN-DESIGN-BED-GR,https://cdn.salla.sa/XaeeA/c1962de2-3eff-4ee7-aea2-0f54f66d41ed-500x500-8HXsL62rJZJB0ZdrAPppdfzh9oKEQjUN8h0M2ozW.png,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.969""}"
BED-26535-CHIACHWOODWOOD-AND-GRAY-CLOTH-,https://cdn.salla.sa/XaeeA/ee79ea01-b966-4670-8420-95176b4b041c-500x500-BrrqWxH1Yju0thZIg8LaW1SW2CqnFkVIvnt2bzRw.jpg,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.958""}"
BED-27861-LUXURIOUS-WOODEN-BED-MODERN-DE,https://cdn.salla.sa/XaeeA/cd95c82d-fc2d-43a3-8dae-eacda626cd2c-500x500-3rHtt3Em6e7eRqxmFL4Wk9VOf2vLjM8VhARFv6dZ.png,"Validation error: {""detail"":""Category mismatch: Expected 'bed' but detected 'chaise-lounge'. This image may contain the wrong product type or category. Detection confidence: 0.961""}"
BED-34266-DOUBLE-BEDROOM-6-PIECES-WITH-W,https://cityw.com.sa/wp-content/uploads/2024/11/02-30-00804-4-500x500.webp,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-34285-DOUBLE-BEDROOM-WHITE-6-PIECES-,https://cityw.com.sa/wp-content/uploads/2024/10/02-14-00128-2-500x500.webp,"Failed to download image from https://cityw.com.sa/wp-content/uploads/2024/10/02-14-00128-2-500x500.webp: Redirect response '302 Found' for url 'https://cityw.com.sa/wp-content/uploads/2024/10/02-14-00128-2-500x500.webp'
Redirect location: 'https://cityw.com.sa/ar/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
BED-34288-DOUBLE-BEDROOM-6-PIECES-WITH-W,https://cityw.com.sa/wp-content/uploads/2024/10/02-30-00830-14-1-500x500.webp,"Failed to download image from https://cityw.com.sa/wp-content/uploads/2024/10/02-30-00830-14-1-500x500.webp: Redirect response '302 Found' for url 'https://cityw.com.sa/wp-content/uploads/2024/10/02-30-00830-14-1-500x500.webp'
Redirect location: 'https://cityw.com.sa/ar/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
BED-34308-DOUBLE-BEDROOM-7-PIECES-WITH-W,https://cityw.com.sa/wp-content/uploads/2024/06/02-30-00670-1-500x500.webp,"Failed to download image from https://cityw.com.sa/wp-content/uploads/2024/06/02-30-00670-1-500x500.webp: Redirect response '302 Found' for url 'https://cityw.com.sa/wp-content/uploads/2024/06/02-30-00670-1-500x500.webp'
Redirect location: 'https://cityw.com.sa/ar/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
